,days,hours,b'11126_fg,b'11126_obs,b'11035_fg,b'11035_obs
278,328,14,265.06695251464845,265.45001220703125,274.9069519042969,277.1499938964844
279,328,15,264.87436752319337,265.25,274.2815963745117,276.04998779296875
280,328,16,265.0907928466797,265.1499938964844,273.69568328857423,274.95001220703125
281,328,17,265.63087768554686,264.95001220703125,273.0744293212891,274.75
282,328,18,266.23355560302736,264.8500061035156,272.5434844970703,273.75
283,328,19,265.5173278808594,264.45001220703125,272.0481803894043,272.6499938964844
284,328,20,265.85355072021486,264.75,271.73167953491213,272.3500061035156
285,328,21,266.4374641418457,264.54998779296875,271.36364593505857,271.6499938964844
286,328,22,266.9398002624512,265.1499938964844,270.9279815673828,271.3500061035156
287,328,23,266.9949760437012,265.04998779296875,270.7283737182617,270.95001220703125
288,329,0,266.6787223815918,265.54998779296875,270.60682373046876,270.6499938964844
289,329,1,266.7410575866699,265.25,270.35271911621095,269.95001220703125
290,329,2,267.1599609375,265.25,270.4292724609375,269.6499938964844
291,329,3,267.2965538024902,265.54998779296875,270.30316772460935,269.45001220703125
292,329,4,267.1113510131836,266.25,269.9983535766602,269.25
293,329,5,266.8147087097168,266.6499938964844,270.15676498413086,269.3500061035156
294,329,6,267.1144966125488,266.54998779296875,270.23716888427737,269.1499938964844
295,329,7,267.34933319091795,266.6499938964844,270.516431427002,269.75
296,329,8,267.922127532959,266.8500061035156,270.97879180908205,272.6499938964844
297,329,9,268.32653656005857,268.04998779296875,271.8427848815918,273.54998779296875
298,329,10,267.912654876709,267.54998779296875,272.3090515136719,274.6499938964844
299,329,11,267.3028434753418,267.04998779296875,272.87265930175784,275.95001220703125
300,329,12,267.5033920288086,267.54998779296875,273.3301712036133,276.54998779296875
301,329,13,267.03512954711914,267.54998779296875,273.8428672790527,276.25
302,329,14,266.36583480834963,267.04998779296875,273.99645233154297,275.8500061035156
303,329,15,266.2562713623047,266.95001220703125,274.07199172973634,275.3500061035156
304,329,16,266.0786758422852,266.1499938964844,273.9751480102539,275.1499938964844
305,329,17,265.7400505065918,266.04998779296875,273.7528778076172,274.95001220703125
306,329,18,265.3711799621582,265.54998779296875,273.5861190795898,274.8500061035156
307,329,19,265.3449165344238,265.45001220703125,273.4450294494629,274.6499938964844
308,329,20,265.0731475830078,265.3500061035156,273.2665496826172,274.6499938964844
309,329,21,264.6810981750488,265.3500061035156,273.02404937744143,274.6499938964844
310,329,22,264.2772132873535,264.8500061035156,272.91418609619143,274.45001220703125
311,329,23,264.1426490783691,264.25,272.8797416687012,274.1499938964844
312,330,0,264.0190544128418,264.1499938964844,272.82677001953124,274.1499938964844
313,330,1,264.02246780395507,264.25,272.7316947937012,273.95001220703125
314,330,2,263.99558715820314,264.3500061035156,272.59477920532225,273.75
315,330,3,263.7815246582031,264.3500061035156,272.55284957885743,273.45001220703125
316,330,4,263.5198265075684,264.25,272.6399635314941,273.45001220703125
317,330,5,263.3621826171875,264.04998779296875,272.74806900024413,273.45001220703125
318,330,6,263.2733093261719,263.8500061035156,272.84454879760744,273.54998779296875
319,330,7,263.1981285095215,263.54998779296875,273.0063926696777,273.75
320,330,8,263.268480682373,263.6499938964844,273.31883850097654,274.04998779296875
321,330,9,263.44797744750974,263.8500061035156,273.60487670898436,274.6499938964844
322,330,10,263.445906829834,264.04998779296875,274.1047332763672,274.8500061035156
323,330,11,263.5634056091309,264.1499938964844,274.7801086425781,275.54998779296875
324,330,12,263.74434051513674,263.8500061035156,275.27874221801756,275.75
325,330,13,263.74720306396483,264.1499938964844,275.476326751709,276.1499938964844
326,330,14,263.475390625,263.6499938964844,275.67346954345703,276.25
327,330,15,263.2288215637207,263.25,275.57652435302737,276.45001220703125
328,330,16,263.1621482849121,263.04998779296875,275.5461479187012,276.45001220703125
329,330,17,263.07705078125,262.95001220703125,275.38646697998047,276.45001220703125
330,330,18,263.03491363525393,262.95001220703125,275.120597076416,276.6499938964844
331,330,19,263.08362274169923,263.04998779296875,274.6833869934082,276.75
332,330,20,262.9959228515625,262.54998779296875,274.6440315246582,276.8500061035156
333,330,21,262.92116394042966,262.6499938964844,274.3963508605957,276.95001220703125
334,330,22,262.8989418029785,262.6499938964844,274.2834243774414,276.75
335,330,23,262.8067565917969,262.54998779296875,274.2696983337402,276.8500061035156
336,331,0,262.72281951904296,262.54998779296875,274.2846076965332,277.25
337,331,1,262.5055702209473,262.3500061035156,274.41226425170896,277.3500061035156
338,331,2,262.24511566162107,262.45001220703125,274.4698616027832,277.25
339,331,3,261.91169357299805,262.54998779296875,274.285009765625,277.04998779296875
340,331,4,261.7152603149414,262.45001220703125,274.16758728027344,277.25
341,331,5,261.2225975036621,262.54998779296875,274.1431625366211,276.95001220703125
342,331,6,261.0602203369141,262.3500061035156,274.0243804931641,276.8500061035156
343,331,7,260.9932174682617,262.3500061035156,274.0978256225586,276.6499938964844
344,331,8,261.30854110717775,262.45001220703125,274.31839447021486,277.04998779296875
345,331,9,262.3680702209473,262.95001220703125,274.8992149353027,277.25
346,331,10,264.1726318359375,263.04998779296875,275.27372512817385,277.1499938964844
347,331,11,264.561531829834,263.54998779296875,275.5427780151367,277.1499938964844
348,331,12,265.4155906677246,263.25,275.5322509765625,277.3500061035156
